feature,importance
num__monthly_usage_gb,0.11530427
cat__plan_type_Pro,0.105822876
cat__contract_type_Monthly,0.089124635
cat__plan_type_Basic,0.07742525
cat__contract_type_Annual,0.070217386
num__avg_latency_ms,0.06869881
cat__autopay_Yes,0.06384926
num__tenure_months,0.06327909
cat__autopay_No,0.06217215
num__support_tickets_30d,0.057677224
num__downtime_hours_30d,0.044907555
num__payment_failures_90d,0.0403878
cat__is_promo_user_Yes,0.03764582
cat__is_promo_user_No,0.030432794
num__discount_pct,0.029443491
num__add_on_count,0.023330493
cat__plan_type_Standard,0.020281166
